Date,Open,High,Low,Close,Volume
2020-03-11,42.5489,43.1746,37.9251,38.2292,2575810.8331094
2020-03-12,36.5763,37.7933,34.5518,35.7371,2883408.2982713
2020-03-13,36.5262,42.2686,35.7205,37.5798,3351602.5287057
2020-03-16,37.5877,40.5577,35.1036,39.4884,3566754.2602732
2020-03-17,40.838,42.3679,39.0771,40.6896,3503467.1763181
2020-03-18,41.1342,42.2853,38.6659,39.382,2552311.6153901
2020-03-19,39.8996,41.7097,39.2581,41.5454,2258724.4591701
2020-03-20,43.3547,44.1614,42.5164,43.2562,4288261.8411322
2020-03-23,42.7791,43.9144,40.4014,40.903,1677119.6741416
2020-03-24,43.1904,43.2729,40.8539,41.2159,1878852.87328
2020-03-25,43.1253,43.1578,40.8705,42.121,1631901.1203686
2020-03-26,41.7097,43.5199,41.2159,43.5199,1846458.7993597
2020-03-27,43.5199,43.8652,42.3019,42.729,2063086.5581141
2020-03-30,43.0752,43.8819,41.7256,43.1746,1780143.4129033
2020-03-31,43.6016,45.823,43.0752,45.823,3421757.6343051
2020-04-01,44.4249,46.0198,43.6016,45.7246,2372771.1735156
2020-04-02,47.7808,51.5486,47.221,49.525,5057871.7482326
2020-04-03,50.1832,52.5196,49.0153,50.068,9126328.445949
2020-04-06,52.0258,52.6515,50.6102,52.4863,2898324.4804906
2020-04-07,53.3096,55.8755,53.3096,53.3913,3252273.979054
2020-04-08,53.6382,54.6426,51.9933,53.3096,2636333.6379303
2020-04-09,54.2137,54.7735,51.9933,53.3588,2443815.0819161
2020-04-14,54.2963,54.3623,52.684,53.5231,3046916.1487743
2020-04-15,53.9678,53.9678,50.9397,51.0065,2221900.0276257
2020-04-16,49.6401,50.4626,48.7025,49.3606,3938195.3069185
2020-04-17,50.5943,50.8245,49.4925,50.3809,2660601.0270845
2020-04-20,51.0065,51.3518,49.5575,50.923,2091139.0408872
2020-04-21,50.3484,50.3484,47.8791,48.5373,1519950.6605167
2020-04-22,48.5373,50.43,47.3194,50.068,1909140.4504208
2020-04-23,50.5943,50.8413,49.7552,50.561,1785365.8406293
2020-04-24,50.2648,50.5943,49.9863,50.0513,1102453.4687263
2020-04-27,50.5777,50.5777,48.1269,48.8994,1347603.7173688
2020-04-28,49.0478,50.43,47.9126,49.7886,1382933.9132182
2020-04-29,50.1998,50.9898,49.2122,50.5285,2064077.7837732
2020-04-30,50.9898,52.1576,50.7587,51.3026,3028243.3237301
2020-05-04,50.2983,50.4134,48.8994,48.9652,1643169.9108115
2020-05-05,49.1954,50.3149,49.1954,49.7719,1615782.0385837
